id,source_id,kind,origin_id,title,url,author,summary_raw,event_time,status,created_at
37,28,github:tag,tag:v1.35.0-alpha.1,🏷️ kubernetes/kubernetes — Tag v1.35.0-alpha.1,https://github.com/kubernetes/kubernetes/releases/tag/v1.35.0-alpha.1,kubernetes,,,enriched,2025-11-03 14:14:35.597925+00
38,28,github:tag,tag:v1.35.0-alpha.0,🏷️ kubernetes/kubernetes — Tag v1.35.0-alpha.0,https://github.com/kubernetes/kubernetes/releases/tag/v1.35.0-alpha.0,kubernetes,,,enriched,2025-11-03 14:14:38.002235+00
39,34,github:release,release:250160336,🔖 google/flax — v0.12.0,https://github.com/google/flax/releases/tag/v0.12.0,google,0.12.0,2025-09-25 23:58:17+00,enriched,2025-11-03 14:14:42.017915+00
40,34,github:release,release:243263899,🔖 google/flax — v0.11.2,https://github.com/google/flax/releases/tag/v0.11.2,google,0.11.2,2025-08-28 17:55:52+00,enriched,2025-11-03 14:14:44.928297+00
41,34,github:release,release:238710704,🔖 google/flax — v0.11.1,https://github.com/google/flax/releases/tag/v0.11.1,google,v0.11.1,2025-08-08 21:25:29+00,enriched,2025-11-03 14:14:47.817534+00
42,34,github:tag,tag:v0.12.0,🏷️ google/flax — Tag v0.12.0,https://github.com/google/flax/releases/tag/v0.12.0,google,,,enriched,2025-11-03 14:14:51.358508+00
43,34,github:tag,tag:v0.11.2,🏷️ google/flax — Tag v0.11.2,https://github.com/google/flax/releases/tag/v0.11.2,google,,,enriched,2025-11-03 14:14:54.165439+00
44,34,github:tag,tag:v0.11.1,🏷️ google/flax — Tag v0.11.1,https://github.com/google/flax/releases/tag/v0.11.1,google,,,enriched,2025-11-03 14:14:57.181012+00
45,40,github:release,release:257196913,🔖 microsoft/onnxruntime — v1.23.2,https://github.com/microsoft/onnxruntime/releases/tag/v1.23.2,microsoft,ONNX Runtime v1.23.2,2025-10-25 04:15:21+00,enriched,2025-11-03 14:15:01.637563+00
46,40,github:release,release:252902201,🔖 microsoft/onnxruntime — v1.23.1,https://github.com/microsoft/onnxruntime/releases/tag/v1.23.1,microsoft,ONNX Runtime v1.23.1,2025-10-08 04:12:55+00,enriched,2025-11-03 14:15:04.439712+00
47,40,github:release,release:250190179,🔖 microsoft/onnxruntime — v1.23.0,https://github.com/microsoft/onnxruntime/releases/tag/v1.23.0,microsoft,ONNX Runtime v1.23.0,2025-09-26 04:33:48+00,enriched,2025-11-03 14:15:07.183111+00
48,40,github:tag,tag:v1.23.2,🏷️ microsoft/onnxruntime — Tag v1.23.2,https://github.com/microsoft/onnxruntime/releases/tag/v1.23.2,microsoft,,,enriched,2025-11-03 14:15:10.503683+00
49,40,github:tag,tag:v1.23.1,🏷️ microsoft/onnxruntime — Tag v1.23.1,https://github.com/microsoft/onnxruntime/releases/tag/v1.23.1,microsoft,,,enriched,2025-11-03 14:15:13.121139+00
50,40,github:tag,tag:v1.23.0,🏷️ microsoft/onnxruntime — Tag v1.23.0,https://github.com/microsoft/onnxruntime/releases/tag/v1.23.0,microsoft,,,enriched,2025-11-03 14:15:16.059587+00
51,46,github:release,release:154224481,🔖 apple/ml-stable-diffusion — 1.1.1,https://github.com/apple/ml-stable-diffusion/releases/tag/1.1.1,apple,1.1.1,2024-05-04 01:05:33+00,enriched,2025-11-03 14:15:19.270742+00
52,46,github:release,release:122977230,🔖 apple/ml-stable-diffusion — 1.1.0,https://github.com/apple/ml-stable-diffusion/releases/tag/1.1.0,apple,1.1.0,2023-09-28 14:28:21+00,enriched,2025-11-03 14:15:21.622496+00
53,46,github:release,release:108603617,🔖 apple/ml-stable-diffusion — 1.0.0,https://github.com/apple/ml-stable-diffusion/releases/tag/1.0.0,apple,1.0.0,2023-06-14 15:48:40+00,enriched,2025-11-03 14:15:24.256921+00
54,46,github:tag,tag:1.1.1,🏷️ apple/ml-stable-diffusion — Tag 1.1.1,https://github.com/apple/ml-stable-diffusion/releases/tag/1.1.1,apple,,,enriched,2025-11-03 14:15:27.160562+00
55,46,github:tag,tag:1.1.0,🏷️ apple/ml-stable-diffusion — Tag 1.1.0,https://github.com/apple/ml-stable-diffusion/releases/tag/1.1.0,apple,,,enriched,2025-11-03 14:15:29.9128+00
56,46,github:tag,tag:1.0.0,🏷️ apple/ml-stable-diffusion — Tag 1.0.0,https://github.com/apple/ml-stable-diffusion/releases/tag/1.0.0,apple,,,enriched,2025-11-03 14:15:32.636909+00
57,52,github:tag,tag:v2,🏷️ meta-llama/llama — Tag v2,https://github.com/meta-llama/llama/releases/tag/v2,meta-llama,,,enriched,2025-11-03 14:15:36.910653+00
